,word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group,filename
0,ɲ1 o1 ɲ u,ñoñu,uni1-bi1,-22.34382204,-30.00934016,1,ɲ1_o1_ɲ_u.mp3
1,m1 u1 ɲ u,muñu,uni1-bi1,-20.50110981,-24.29528028,2,m1_u1_ɲ_u.mp3
2,t͡ʃ u f1 a1,chufá,uni1-bi1,-19.42035363,-20.23580463,3,t͡ʃ_u_f1_a1.mp3
3,t͡ʃ u ɲ1 e1,chuñé,uni1-bi1,-21.20898341,-19.9444396,4,t͡ʃ_u_ɲ1_e1.mp3
4,ɲ u i1 a1,ñuyá,uni1-bi1,-17.56060225,-26.30594642,5,ɲ_u_i1_a1.mp3
5,ɲ1 u1 l u,ñulu,uni1-bi1,-19.56777563,-28.17926104,1,ɲ1_u1_l_u.mp3
6,ɲ1 u1 ɲ o,ñuño,uni1-bi1,-21.28923719,-22.39294382,2,ɲ1_u1_ɲ_o.mp3
7,p i r1 u1,pirú,uni1-bi1,-17.52613861,-20.29256086,3,p_i_r1_u1.mp3
8,ɲ i ɲ1 o1,ñiñó,uni1-bi1,-21.24952941,-26.04989147,4,ɲ_i_ɲ1_o1.mp3
9,x1 o1 r u,jorru,uni1-bi1,-18.53696104,-22.27188496,5,x1_o1_r_u.mp3
10,ɲ u s1 u1,ñusú,uni1-bi1,-19.52115647,-26.25509244,1,ɲ_u_s1_u1.mp3
11,f1 a1 t͡ʃ u,fachu,uni1-bi1,-19.42035363,-22.35390168,2,f1_a1_t͡ʃ_u.mp3
12,r1 u1 ɲ u,ruñu,uni1-bi1,-21.70292976,-24.57595353,3,r1_u1_ɲ_u.mp3
13,ɲ1 o1 u i,ñohui,uni1-bi1,-18.4689513,-28.72015672,4,ɲ1_o1_u_i.mp3
14,ɲ1 o1 ɲ e,ñoñe,uni1-bi1,-20.53502246,-22.32393354,5,ɲ1_o1_ɲ_e.mp3
15,t͡ʃ1 o1 r i,chorri,uni1-bi1,-18.45588561,-20.26324956,1,t͡ʃ1_o1_r_i.mp3
16,ɲ1 i1 r u,ñirru,uni1-bi1,-19.39848763,-30.54832725,2,ɲ1_i1_r_u.mp3
17,t͡ʃ1 u1 t͡ʃ u,chuchu,uni1-bi1,-21.75357461,-22.64760152,3,t͡ʃ1_u1_t͡ʃ_u.mp3
18,ɲ i r1 u1,ñirú,uni1-bi1,-20.60863713,-30.54680471,4,ɲ_i_r1_u1.mp3
19,ɲ i ɲ1 i1,ñiñí,uni1-bi1,-20.57747794,-28.60263929,5,ɲ_i_ɲ1_i1.mp3
20,ɲ1 i1 m u,ñimu,uni1-bi1,-18.36314203,-26.33014468,1,ɲ1_i1_m_u.mp3
21,ɲ1 o1 ɲ i,ñoñi,uni1-bi1,-21.24952941,-28.43497778,2,ɲ1_o1_ɲ_i.mp3
22,ɲ u b1 u1,ñubú,uni1-bi1,-20.35081507,-26.24672789,3,ɲ_u_b1_u1.mp3
23,ɲ o u1 i1,ñohuí,uni1-bi1,-17.43514782,-28.1969997,4,ɲ_o_u1_i1.mp3
24,t͡ʃ u t͡ʃ1 u1,chuchú,uni1-bi1,-21.75357461,-20.96235133,5,t͡ʃ_u_t͡ʃ1_u1.mp3
25,ɲ1 u1 t͡ʃ u,ñuchu,uni1-bi1,-22.27393547,-27.92273555,1,ɲ1_u1_t͡ʃ_u.mp3
26,ɲ i u1 i1,ñihuí,uni1-bi1,-17.96091291,-31.04047473,2,ɲ_i_u1_i1.mp3
27,ɲ1 i1 ɲ u,ñiñu,uni1-bi1,-21.67177057,-30.71394478,3,ɲ1_i1_ɲ_u.mp3
28,ɲ o d1 u1,ñodú,uni1-bi1,-18.5181466,-24.33625809,4,ɲ_o_d1_u1.mp3
29,ɲ u t͡ʃ1 e1,ñuché,uni1-bi1,-21.32398199,-24.52553376,5,ɲ_u_t͡ʃ1_e1.mp3
30,ɲ u g1 a1,ñugá,uni1-bi1,-19.53783545,-24.3321325,1,ɲ_u_g1_a1.mp3
31,t͡ʃ1 e1 i u,cheyu,uni1-bi1,-17.44911125,-24.29415539,2,t͡ʃ1_e1_i_u.mp3
32,t͡ʃ1 u1 ɲ u,chuñu,uni1-bi1,-22.38893405,-26.21981339,3,t͡ʃ1_u1_ɲ_u.mp3
33,ɲ u i1 u1,ñuyú,uni1-bi1,-19.05520554,-30.13785221,4,ɲ_u_i1_u1.mp3
34,t͡ʃ u g1 u1,chugú,uni1-bi1,-20.39707929,-20.3845101,5,t͡ʃ_u_g1_u1.mp3
35,ɲ1 i1 b i,ñibi,uni1-bi1,-17.50954938,-22.26415284,1,ɲ1_i1_b_i.mp3
36,x u ɲ1 e1,juñé,uni1-bi2,-20.15379328,-17.86550385,2,x_u_ɲ1_e1.mp3
37,t͡ʃ1 u1 ɲ o,chuño,uni1-bi2,-20.76887633,-17.11780979,3,t͡ʃ1_u1_ɲ_o.mp3
38,t͡ʃ i t͡ʃ1 o1,chichó,uni1-bi2,-20.09380911,-18.87904345,4,t͡ʃ_i_t͡ʃ1_o1.mp3
39,t͡ʃ1 o1 t͡ʃ e,choche,uni1-bi2,-19.37930217,-16.70640065,5,t͡ʃ1_o1_t͡ʃ_e.mp3
40,t͡ʃ1 u1 f e,chufe,uni1-bi2,-18.73797337,-17.09367024,1,t͡ʃ1_u1_f_e.mp3
41,t͡ʃ i ɲ1 o1,chiñó,uni1-bi2,-20.61416997,-18.72612087,2,t͡ʃ_i_ɲ1_o1.mp3
42,x u g1 u1,jugú,uni1-bi2,-19.34188917,-18.30557434,3,x_u_g1_u1.mp3
43,r1 o1 x u,roju,uni1-bi2,-19.44690732,-18.74249056,4,r1_o1_x_u.mp3
44,l o ɲ1 o1,loñó,uni1-bi2,-17.38224504,-16.65324137,5,l_o_ɲ1_o1.mp3
45,t͡ʃ a ɲ1 e1,chañé,uni1-bi2,-19.39525224,-17.08508239,1,t͡ʃ_a_ɲ1_e1.mp3
46,r u g1 u1,rufú,uni1-bi2,-18.75915579,-17.45526441,2,r_u_g1_u1.mp3
47,d u f1 u1,dufú,uni1-bi2,-18.01471898,-18.72739247,3,d_u_f1_u1.mp3
48,b1 i1 t͡ʃ i,bichi,uni1-bi2,-17.38363867,-18.33226189,4,b1_i1_t͡ʃ_i.mp3
49,b u t͡ʃ1 u1,buchú,uni1-bi2,-19.32100548,-18.02627928,5,b_u_t͡ʃ1_u1.mp3
50,r1 u1 t͡ʃ i,ruchi,uni1-bi2,-19.97327769,-18.42607718,1,r1_u1_t͡ʃ_i.mp3
51,l u ɲ1 a1,luñá,uni1-bi2,-18.07317234,-17.47619615,2,l_u_ɲ1_a1.mp3
52,m u x1 u1,mujú,uni1-bi2,-18.06708831,-17.89793906,3,m_u_x1_u1.mp3
53,f1 e1 t͡ʃ i,fechi,uni1-bi2,-18.75571223,-18.71204454,4,f1_e1_t͡ʃ_i.mp3
54,t͡ʃ1 o1 ɲ o,choño,uni1-bi2,-20.20340347,-16.64792716,5,t͡ʃ1_o1_ɲ_o.mp3
55,t͡ʃ u s1 a1,chusá,uni1-bi2,-17.39119375,-17.47606431,1,t͡ʃ_u_s1_a1.mp3
56,f u t͡ʃ1 u1,fuchú,uni1-bi2,-20.54677295,-18.10625356,2,f_u_t͡ʃ1_u1.mp3
57,t͡ʃ a g1 i1,chaguí,uni1-bi2,-17.34582379,-17.8888321,3,t͡ʃ_a_g1_i1.mp3
58,p u t͡ʃ1 u1,puchú,uni1-bi2,-19.30643553,-17.41823047,4,p_u_t͡ʃ1_u1.mp3
59,f i ɲ1 i1,fiñí,uni1-bi2,-18.73531684,-18.38135652,5,f_i_ɲ1_i1.mp3
